chamber,pig_id,pig_class,sick,disease,feedstuff_kg,ts,resp_per_min,rectal_temp_c,skin_temp_back,skin_temp_neck,skin_temp_head,weight_kg
1,1,pig,0,healthy,1.546,2023-08-03  00:00:00,57.44963532302922,37.90646053553621,33.97879379162241,34.26411602930388,33.984522645342466,32.81800611394269
1,1,pig,0,healthy,1.525,2023-08-04  00:00:00,54.95680881374276,37.645837174684516,35.94206842590119,33.333687384679294,32.50095184337384,33.56800611394269
1,1,pig,0,healthy,1.56,2023-08-05  00:00:00,52.823950398351194,37.437678164943954,33.7605438323332,34.349435277223584,33.99466469366321,34.31800611394269
1,1,pig,1,fever,1.056,2023-08-06  00:00:00,59.564158544843636,39.960959723019755,35.90179978141687,33.87451435946402,36.34213266549087,34.655506113942685
1,1,pig,0,healthy,1.306,2023-08-07  00:00:00,62.145208927709064,37.75866091725686,36.561878947169966,34.53902453038423,34.647721428161624,35.405506113942685
1,1,pig,0,healthy,1.556,2023-08-08  00:00:00,61.97771522578203,37.288456092644196,36.95472907309915,34.76666409428496,35.416945431487314,36.155506113942685
1,1,pig,0,healthy,1.693,2023-08-09  00:00:00,73.9941318820906,37.5559151438708,34.93197679369568,34.74815040223513,34.06785531550713,36.905506113942685
1,1,pig,0,healthy,1.764,2023-08-10  00:00:00,79.61874920746178,38.49122235702283,35.01073620869587,34.55707477865542,32.97761561257543,37.655506113942685
1,1,pig,0,healthy,1.868,2023-08-11  00:00:00,71.77278791625434,38.91680878680771,36.41235492301163,34.48225074004991,33.15956093050354,38.405506113942685
1,1,pig,0,healthy,1.843,2023-08-12  00:00:00,69.89398264984942,40.030394452556116,36.760528712499756,32.22972720742539,32.556742679021205,39.155506113942685
1,1,pig,0,healthy,1.843,2023-08-13  00:00:00,68.98001798067963,39.125889574415595,37.365682379701035,30.15979219417022,33.14852503396026,39.905506113942685
1,1,pig,1,cough,1.374,2023-08-14  00:00:00,74.14759570148495,39.909890072921115,37.78803030971619,30.76586844823,35.98392467983115,40.41175611394269
