챔버번호,돼지분류,돼지번호,수집날짜,수집시간,분당호흡횟수,직장온도(℃),피부온도(등),피부온도(목),피부온도(머리),돼지 체중(kg),,,,,,,,,
2,weaningpig,111,2023-08-04,00:00:00,71,37.1,34.8,34.6,33.3,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,01:00:00,68,37.8,33,33.7,34,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,02:00:00,69,38.6,35.9,32.2,34.2,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,03:00:00,71,38,35.5,33.1,33.6,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,04:00:00,72,37.6,32.5,34.8,34.7,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,05:00:00,69,38.1,33.8,33,33.7,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,06:00:00,70,37.4,34.7,34.6,34.7,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,07:00:00,72,38.4,33,33.6,33.9,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,08:00:00,72,37.9,35.1,35.4,34.1,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,09:00:00,70,37.3,35.1,34.9,34.6,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,10:00:00,67,37.1,35.9,33,35.5,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,11:00:00,67,38.1,34.2,33,34,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,12:00:00,64,37.4,35.6,34.2,35.4,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,13:00:00,62,38.8,33.3,33.2,34.2,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,14:00:00,60,37.6,35.3,35.1,33.4,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,15:00:00,62,37.4,32.9,33.4,35.3,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,16:00:00,64,37.7,34.2,34.9,33.6,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,17:00:00,67,38.7,32.6,33.4,34,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,18:00:00,70,37.3,34.4,35.7,34.5,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,19:00:00,70,38.7,33,35.8,33.6,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,20:00:00,69,38.3,32.6,33.6,35.1,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,21:00:00,70,38.2,35.3,33.6,33.5,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,22:00:00,68,37.9,35.8,32.2,34.2,16.94,,,,,,,,,
2,weaningpig,111,2023-08-04,23:00:00,65,38.8,34.3,34.8,34.1,16.94,,,,,,,,,
2,weaningpig,112,2023-08-04,00:00:00,68,38.5,34.2,32.2,33.3,17.57,,,,,,,,,
2,weaningpig,112,2023-08-04,01:00:00,66,38.7,34.7,33.7,34.6,17.57,,,,,,,,,
2,weaningpig,112,2023-08-04,02:00:00,66,38.1,34.4,33.2,34,17.57,,,,,,,,,
2,weaningpig,112,2023-08-04,03:00:00,64,38.8,33,32.5,35.5,17.57,,,,,,,,,
2,weaningpig,112,2023-08-04,04:00:00,63,38.9,35.8,33.1,33.9,17.57,,,,,,,,,
2,weaningpig,112,2023-08-04,05:00:00,61,37.4,34.1,32.5,35.4,17.57,,,,,,,,,
