chamber,pig_id,pig_class,sick,disease,feedstuff_kg,ts,resp_per_min,rectal_temp_c,skin_temp_back,skin_temp_neck,skin_temp_head,weight_kg
1,1,pig,0,healthy,1.793,2023-08-03  00:00:00,64.34794504349216,38.165488064413225,35.58921866150072,33.386714590634774,34.312054515825075,52.44183748184411
1,1,pig,0,healthy,1.887,2023-08-04  00:00:00,61.721774919755525,39.03900986919284,34.1995349010572,33.63492722140828,34.02563931721721,53.19183748184411
1,1,pig,0,healthy,1.769,2023-08-05  00:00:00,73.47603773704807,38.390235493085605,32.81296378254379,34.321535359289285,34.952297576807695,53.94183748184411
1,1,pig,0,healthy,1.941,2023-08-06  00:00:00,62.823296898768916,38.701865952154485,34.05357022578688,34.28020869335013,34.6956611220056,54.69183748184411
1,1,pig,0,healthy,1.936,2023-08-07  00:00:00,63.40443239943382,38.24942445409987,33.92142617455551,34.9976239864033,35.09625649320734,55.44183748184411
1,1,pig,0,healthy,2.029,2023-08-08  00:00:00,66.21464195819765,38.50836991499413,34.86849360218949,34.84879128522479,34.92709839969382,56.19183748184411
1,1,pig,0,healthy,2.034,2023-08-09  00:00:00,72.34760474855422,38.34204614286693,34.44938484416671,33.495699643143894,34.40256993431592,56.94183748184411
1,1,pig,0,healthy,1.995,2023-08-10  00:00:00,63.68857292468974,39.31941558234961,33.224521604378815,33.01174160083955,34.909857243198296,57.69183748184411
1,1,pig,0,healthy,2.146,2023-08-11  00:00:00,54.045332671826614,38.94381396904492,33.71535803314118,33.84330007158649,32.75954564474681,58.44183748184411
1,1,pig,0,healthy,2.098,2023-08-12  00:00:00,56.02825083508532,38.82360638425172,32.94800776719817,33.34892842640497,33.559221999723235,59.19183748184411
1,1,pig,0,healthy,2.111,2023-08-13  00:00:00,59.6388253639614,38.89574138424094,31.712484326772444,35.68465561788617,33.187517313234295,59.94183748184411
1,1,pig,0,healthy,2.128,2023-08-14  00:00:00,58.66596114137026,38.10311025378897,32.51673057341073,35.87398849518203,34.024177837303384,60.69183748184411
1,1,grown_pig,0,healthy,2.141,2023-08-15  00:00:00,57.88009566723016,37.92730284701453,30.517148467302448,34.068615729826995,33.72766727623125,61.59183748184411
1,1,grown_pig,0,healthy,2.178,2023-08-16  00:00:00,61.01443740462753,37.97445339529265,32.39169307725142,34.982570568322025,33.51293919229065,62.49183748184411
1,1,grown_pig,0,healthy,2.264,2023-08-17  00:00:00,65.14371011971524,38.43458842356563,31.390838724546313,34.81229805911449,34.86379911615838,63.39183748184411
1,1,grown_pig,0,healthy,2.172,2023-08-18  00:00:00,56.697166708967515,38.20426293824636,31.115908044455274,33.17977291540581,34.694270319605344,64.29183748184411
1,1,grown_pig,0,healthy,2.215,2023-08-19  00:00:00,68.68902987027741,38.89273165188707,33.43106428240971,34.77553869163124,34.45002111674,65.19183748184412
1,1,grown_pig,0,healthy,2.42,2023-08-20  00:00:00,76.06233583364916,38.21781370454765,34.290956607304935,33.829566605167955,33.23582764445452,66.09183748184412
1,1,grown_pig,0,healthy,2.32,2023-08-21  00:00:00,74.17253863363617,38.10388494404103,33.563961290082126,34.741031258302556,33.124759281554745,66.99183748184413
1,1,grown_pig,0,healthy,2.505,2023-08-22  00:00:00,65.79217528882037,37.96165796555578,33.12351299676916,35.335499206458394,33.65555909952966,67.89183748184414
1,1,grown_pig,0,healthy,2.404,2023-08-23  00:00:00,63.878181135829045,37.02323483439166,33.67208729336773,35.73194229241758,34.53729587307018,68.79183748184414
1,1,grown_pig,1,cough,1.739,2023-08-24  00:00:00,71.58815733116052,38.38352719783735,34.27166465526971,34.59939543233778,33.206263458332586,69.36896248184414
1,1,grown_pig,0,healthy,1.989,2023-08-25  00:00:00,71.55575968027291,38.482718890801394,35.6194592927959,33.78150603043982,32.80972505655179,70.26896248184414
1,1,grown_pig,0,healthy,2.239,2023-08-26  00:00:00,72.30430479180829,38.638516444696236,35.16857377750158,33.34586758378872,33.366757077360795,71.16896248184415
1,1,grown_pig,0,healthy,2.484,2023-08-27  00:00:00,68.63935390051245,38.87763680373181,34.632206305309815,33.02849985209378,33.78152036598144,72.06896248184415
1,1,grown_pig,0,healthy,2.475,2023-08-28  00:00:00,61.464471279552534,38.513857871205,35.71547149437777,32.774741759893985,33.02227329898282,72.96896248184416
1,1,grown_pig,0,healthy,2.406,2023-08-29  00:00:00,64.2827368927346,37.67258497831127,33.91823137702946,33.357420844849685,35.14239904976398,73.86896248184416
1,1,grown_pig,0,healthy,2.369,2023-08-30  00:00:00,59.321621301662745,37.69153907795351,33.50717114079558,33.846349959282534,34.4198966879686,74.76896248184417
1,1,grown_pig,0,healthy,2.405,2023-08-31  00:00:00,55.11405931289019,37.05885438126035,33.248187492568015,35.20729264503421,33.787999751799575,75.66896248184418
1,1,grown_pig,0,healthy,2.531,2023-09-01  00:00:00,50.4339442976134,37.83598331647132,31.768735652144365,35.036775000307,34.37478707892579,76.56896248184418
1,1,grown_pig,0,healthy,2.424,2023-09-02  00:00:00,60.72129764613093,38.09068199082081,31.80358432876096,33.35286808010989,33.93279744513955,77.46896248184419
1,1,grown_pig,0,healthy,2.444,2023-09-03  00:00:00,61.71683779317079,38.56011672447752,32.328842942957564,34.59562787444365,33.793312806538864,78.36896248184419
1,1,grown_pig,0,healthy,2.494,2023-09-04  00:00:00,69.08162284553532,38.0749166357539,33.72711704784926,34.475058532418956,34.21800556928103,79.2689624818442
1,1,grown_pig,0,healthy,2.347,2023-09-05  00:00:00,62.26436137050008,38.70544167304599,34.72954709747425,36.250699095576884,34.38606490955667,80.1689624818442
1,1,grown_pig,1,fever,1.46,2023-09-06  00:00:00,61.595003864646515,40.419986408627786,37.55909983866426,37.0309270204942,34.313620553644824,80.5537124818442
1,1,grown_pig,0,healthy,1.71,2023-09-07  00:00:00,54.90168465307744,39.52026900289824,35.508593524890706,35.49694618504258,34.76776503252047,81.4537124818442
1,1,grown_pig,1,cold,1.341,2023-09-08  00:00:00,67.07966963235164,40.15343986292265,34.81309273571082,34.698931416831336,35.51357539306662,81.9987749818442
1,1,grown_pig,0,healthy,1.591,2023-09-09  00:00:00,61.5483551555723,39.61512437141674,33.43440319339647,35.73900789209865,34.23660971680226,82.89877498184421
1,1,grown_pig,0,healthy,1.841,2023-09-10  00:00:00,64.62892665691476,39.92286219545991,33.00660456708643,35.55191001704917,33.973583165311446,83.79877498184422
1,1,grown_pig,0,healthy,2.091,2023-09-11  00:00:00,52.33304581136354,38.659976002538656,32.840030031105414,33.87010332036889,33.57393562171573,84.69877498184422
1,1,grown_pig,0,healthy,2.341,2023-09-12  00:00:00,59.42979725389652,36.82838296666968,33.83495592673263,32.78325332678404,34.98999300271838,85.59877498184423
